M_ID,Date,PointID,Northing,Easting,ApproximateTime,,
85,6/28/2018,5m-blazingstar,4622484.49700,434078.987000,15:58:00,,
85,6/28/2018,85-2,4622488.17400,434077.859000,15:59:00,,
85,6/28/2018,85-3,4622492.30200,434062.005000,16:08:00,,
85,6/28/2018,85-4,4622506.89100,434053.108000,16:17:00,,
100,7/7/2018,veg-pbs,4667945.26800,612170.257000,15:57:00,,
183,7/28/2018,release-plant,4667964.87400,612186.827000,16:34:00,,
183,7/28/2018,183-4,4667978.79300,612288.038000,16:34:30,,
183,7/28/2018,183-3,4667956.84300,612188.710000,16:35:00,,
183,7/28/2018,183-2,4667965.92200,612187.150000,16:36:00,,
185,7/28/2018,release-plant,4667964.87400,612186.827000,17:08:00,,
185,7/28/2018,185-2,4667966.39500,612189.020000,17:09:00,,
185,7/28/2018,185-3,4667971.24700,612192.238000,17:09:22,,
185,7/28/2018,185-4,4667969.48500,612184.268000,17:09:43,,
185,7/28/2018,185-5,4667969.06600,612185.443000,17:17:36,,
185,7/28/2018,185-6,4667967.60500,612186.842000,17:17:50,,
185,7/28/2018,185-7,4667985.54700,612229.165000,17:26:00,,
187,7/28/2018,release-plant,4667964.87400,612186.827000,18:48:00,,
187,7/28/2018,187-8,4668024.05800,612524.596000,19:00:06,,
187,7/28/2018,187-9,4667990.12400,612611.462000,19:10:00,,
187,7/28/2018,187-7,4668079.33600,612508.910000,18:57:20,,
187,7/28/2018,187-6,4668054.12600,612323.696000,18:54:10,,
187,7/28/2018,187-5,4668038.75400,612296.685000,18:52:30,,
187,7/28/2018,187-4,4667974.59000,612195.577000,18:51:13,,
187,7/28/2018,187-3,4667965.70500,612190.936000,18:50:57,,
187,7/28/2018,187-2,4667962.66300,612189.428000,18:50:46,,
188,7/28/2018,release-plant,4667964.87400,612186.827000,19:54:00,,
196,7/29/2018,release,4667964.80800,612187.161000,18:00:00,,
196,7/29/2018,196-2,4667967.70300,612191.424000,18:02:00,,
51,7/16/2019,51-4,4751827.36659,525704.147937,16:10:00,,
51,7/16/2019,51-3,4751797.71904,525706.272215,16:11:00,,
51,7/16/2019,51-1,4751721.50174,525679.848271,16:16:33,,
51,7/16/2019,51-2,4751723.18445,525680.644243,16:37:10,,
138,7/27/2019,138-1,4751678.82102000000,525542.32595800000,13:44:45,,
138,7/27/2019,138-2,4751680.49322000000,525545.03124300000,13:44:00,,
138,7/27/2019,138-3,4751677.68425000000,525547.90433400000,13:43:30,,
138,7/27/2019,138-4,4751677.46851000000,525550.11813100000,13:42:45,,
138,7/27/2019,138-5,4751676.86188000000,525552.18053000000,13:42:00,,
138,7/27/2019,138-6,4751677.31848000000,525557.14858700000,13:41:20,,
138,7/27/2019,138-7,4751683.04517000000,525559.35559800000,13:39:58,,
138,7/27/2019,138-8,4751688.82233000000,525556.11302800000,13:36:39,,
138,7/27/2019,138-9,4751696.55867000000,525560.84931000000,13:35:56,,
138,7/27/2019,138-10,4751698.75310000000,525562.30872900000,13:35:34,,
138,7/27/2019,138-11,4751700.94155000000,525561.65333300000,13:33:00,,
149,7/28/2019,149-1,4751834.39708000000,525466.12239100000,17:06:00,,
149,7/28/2019,149-2,4751808.14349000000,525504.13388700000,17:05:17,,
149,7/28/2019,149-3,4751809.33706000000,525503.40121500000,17:01:58,,
149,7/28/2019,149-4,4751807.86674000000,525504.51013300000,16:49:30,,
149,7/28/2019,149-5,4751791.50362000000,525517.18778000000,16:49:00,,
158,8/1/2019,158,4751806.28545000000,525539.28668000000,14:51:00,,
159,8/1/2019,159,4751806.28545000000,525539.28668000000,15:35:00,,
160,8/1/2019,160,4751806.28545000000,525539.28668000000,16:04:00,,
157,8/1/2019,157,4751806.28545000000,525539.28668000000,14:20:00,,
161,8/2/2019,161-1,4751780.95531000000,525560.95260500000,14:19:59,,
161,8/2/2019,161-2,4751783.67961000000,525560.53607700000,14:16:49,,
161,8/2/2019,161-3,4751781.90363000000,525558.08412200000,14:16:26,,
161,8/2/2019,161-4,4751781.30323000000,525553.09632800000,14:15:41,,
161,8/2/2019,161-5,4751779.62834000000,525547.37427800000,14:14:19,,
161,8/2/2019,161-6,4751780.58371000000,525545.68884600000,14:06:00,,
162,8/2/2019,162-1,4751792.68344000000,525571.77130200000,15:24:42,,
162,8/2/2019,162-2,4751781.43716000000,525556.02179600000,15:17:30,,
162,8/2/2019,162-3,4751778.81723000000,525547.52558900000,15:16:00,,
162,8/2/2019,162-4,4751778.34136000000,525545.13416700000,15:15:37,,
162,8/2/2019,162-5,4751779.88752000000,525546.00577200000,15:11:00,,
168,8/3/2019,168-1,4752157.85424000000,525566.66792600000,19:31:00,,
168,8/3/2019,168-2,4752132.96941000000,525529.82111400000,19:24:00,,
168,8/3/2019,168-3,4752112.08786000000,525524.06914600000,19:23:00,,
168,8/3/2019,168-4,4752102.33934000000,525516.62339200000,19:21:00,,
168,8/3/2019,168-5,4751941.90873000000,525681.87304700000,19:10:15,,
168,8/3/2019,168-6,4751934.58323000000,525781.39230800000,19:03:30,,
168,8/3/2019,168-7,4751932.85306000000,525784.95520800000,19:03:00,,
168,8/3/2019,168-8,4751932.36093000000,525787.24176500000,19:01:30,,
168,8/3/2019,168-9,4751933.49571000000,525786.43810200000,19:01:15,,
168,8/3/2019,168-10,4751934.04183000000,525784.60560800000,19:01:00,,
171,8/4/2019,171-1,4751774.68490000000,525643.68051700000,15:32:25,,
171,8/4/2019,171-2,4751778.55283000000,525642.43971800000,15:31:00,,
171,8/4/2019,171-3,4751779.22015000000,525633.47674400000,15:17:42,,
171,8/4/2019,171-4,4751778.75862000000,525677.35760000000,15:16:00,,
171,8/4/2019,171-5,4751779.77448000000,525676.20915900000,15:00:00,,
171,8/4/2019,171-6,4751777.33521000000,525677.55076000000,14:58:40,,
171,8/4/2019,171-7,4751776.60763000000,525676.24206100000,14:50:40,,
171,8/4/2019,171-8,4751769.25534000000,525676.03651900000,14:49:45,,
171,8/4/2019,171-9,4751771.28791000000,525675.49679700000,14:45:30,,
171,8/4/2019,171-10,4751771.74722000000,525675.86997900000,14:45:00,,
172,8/4/2019,172-1,4751769.05866000000,525690.58989500000,16:32:00,,
172,8/4/2019,172-2,4751771.52242000000,525689.86417900000,16:17:00,,
172,8/4/2019,172-3,4751768.32413000000,525689.61971500000,16:16:30,,
172,8/4/2019,172-4,4751768.76596000000,525689.51840900000,16:08:00,,
173,8/4/2019,173-1,4751905.73696000000,525741.89377100000,18:05:00,,
173,8/4/2019,173-2,4751905.08643000000,525743.03574600000,18:03:57,,
173,8/4/2019,173-3,4751904.57671000000,525741.97162900000,18:02:28,,
173,8/4/2019,173-4,4751893.60071000000,525737.49612700000,18:02:20,,
173,8/4/2019,173-5,4751848.36794000000,525739.93096300000,18:01:45,,
173,8/4/2019,173-6,4751849.28184000000,525741.27271100000,18:01:00,,
173,8/4/2019,173-7,4751851.93733000000,525743.64846600000,17:57:30,,
173,8/4/2019,173-8,4751848.85992000000,525749.59570400000,17:56:15,,
173,8/4/2019,173-9,4751843.30797000000,525748.25776600000,17:46:28,,
173,8/4/2019,173-10,4751845.03823000000,525750.96577900000,17:44:59,,
173,8/4/2019,173-11,4751815.34218000000,525761.45318700000,17:27:40,,
173,8/4/2019,173-12,4751771.29682000000,525718.17280200000,17:27:20,,
173,8/4/2019,173-13,4751769.89195000000,525705.69374800000,17:27:00,,
173,8/4/2019,173-14,4751770.70570000000,525704.85616700000,17:26:32,,
173,8/4/2019,173-15,4751768.09899000000,525690.98528600000,17:25:00,,
173,8/4/2019,173-16,4751768.51949000000,525690.68063700000,17:12:00,,
173,8/4/2019,173-17,4751768.17547000000,525689.98687400000,17:11:40,,
173,8/4/2019,173-18,4751768.53482000000,525690.06468900000,17:10:00,,
198,8/9/2019,198-1,4750080.264,526030.430,16:41:00,,
198,8/9/2019,198-2,4750138.857,526005.582,16:11:00,,
198,8/9/2019,198-3,4750558.633,525716.726,16:02:05,,
198,8/9/2019,198-4,4751285.920,525606.479,16:00:46,,
198,8/9/2019,198-5,4751424.940,525659.396,15:56:38,,
198,8/9/2019,198-6,4751983.271,525778.321,15:43:40,,
198,8/9/2019,198-7,4751938.135,525689.249,15:42:37,,
198,8/9/2019,198-8,4751909.222,525683.888,15:11:00,,
